componente,variante,n_rainhas,semente,tempo_s,fitness_maximo,fitness_medio,fitness_minimo,geracoes_para_solucao,solucionado
Baseline,Torn.1.00C.0.05M.0.10E,25,29990,7.9529,299,298.91,296,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,28169,7.7051,299,298.95,296,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,75782,7.5208,299,298.88,296,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,59888,7.5123,299,298.97,296,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,91346,7.6314,299,298.88,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.02E,25,94965,8.2021,299,298.85,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.02E,25,18655,8.1730,299,298.76,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.02E,25,68905,8.3536,299,298.63,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.02E,25,58376,8.6537,300,299.82,297,33,sim
Baseline,Torn.1.00C.0.10M.0.02E,25,89919,8.2002,299,298.73,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,86478,7.6637,298,297.87,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,37509,7.4113,299,298.78,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,32347,7.4244,300,299.85,297,34,sim
Baseline,Torn.1.00C.0.10M.0.10E,25,18652,6.4603,300,299.88,296,59,sim
Baseline,Torn.1.00C.0.10M.0.10E,25,72936,6.5257,299,298.76,296,-1,nao
Baseline,Torn.0.80C.0.05M.0.02E,25,58559,4.7712,299,298.81,295,-1,nao
Baseline,Torn.0.80C.0.05M.0.02E,25,42874,5.1663,299,298.94,296,-1,nao
Baseline,Torn.0.80C.0.05M.0.02E,25,46905,4.7463,300,299.84,296,59,sim
Baseline,Torn.0.80C.0.05M.0.02E,25,11981,4.4937,299,298.89,295,-1,nao
Baseline,Torn.0.80C.0.05M.0.02E,25,11889,4.5418,299,298.93,296,-1,nao
Baseline,Torn.0.80C.0.05M.0.10E,25,73646,4.4688,300,299.94,296,126,sim
Baseline,Torn.0.80C.0.05M.0.10E,25,83380,4.2079,300,299.90,297,79,sim
Baseline,Torn.0.80C.0.05M.0.10E,25,41624,4.3129,300,299.91,297,59,sim
Baseline,Torn.0.80C.0.05M.0.10E,25,58357,4.3369,300,299.81,296,36,sim
Baseline,Torn.0.80C.0.05M.0.10E,25,39375,4.2691,299,298.89,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,14410,4.4475,299,298.83,296,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,98877,4.7305,299,298.79,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,55369,4.7114,300,299.77,296,37,sim
Baseline,Torn.0.80C.0.10M.0.02E,25,57361,5.1315,299,298.72,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,91362,5.1792,299,298.87,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,46520,4.3249,300,299.75,296,34,sim
Baseline,Torn.0.80C.0.10M.0.10E,25,73703,4.2400,298,297.82,294,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,18651,3.4707,300,299.63,296,65,sim
Baseline,Torn.0.80C.0.10M.0.10E,25,19740,3.7531,300,299.77,296,114,sim
Baseline,Torn.0.80C.0.10M.0.10E,25,99729,4.6451,299,298.63,295,-1,nao
Baseline,Torn.1.00C.0.05M.0.02E,25,72524,4.7806,299,298.77,295,-1,nao
Baseline,Torn.1.00C.0.05M.0.02E,25,42822,4.5573,299,298.93,296,-1,nao
Baseline,Torn.1.00C.0.05M.0.02E,25,60458,4.5758,300,299.88,296,39,sim
Baseline,Torn.1.00C.0.05M.0.02E,25,89919,5.1497,298,297.93,295,-1,nao
Baseline,Torn.1.00C.0.05M.0.02E,25,86347,5.1970,300,299.89,296,54,sim
Baseline,Torn.1.00C.0.05M.0.10E,25,78133,4.3266,299,298.90,296,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,24733,4.4182,300,299.87,296,20,sim
Baseline,Torn.1.00C.0.05M.0.10E,25,37225,5.6916,300,299.83,296,46,sim
Baseline,Torn.1.00C.0.05M.0.10E,25,26461,5.3091,299,298.93,295,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,91885,5.3463,300,299.98,297,61,sim
Baseline,Torn.1.00C.0.10M.0.02E,25,93328,6.0111,299,298.73,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.02E,25,31670,5.5143,300,299.79,296,87,sim
Baseline,Torn.1.00C.0.10M.0.02E,25,85113,5.5499,300,299.71,296,78,sim
Baseline,Torn.1.00C.0.10M.0.02E,25,96220,4.7160,300,299.66,296,14,sim
Baseline,Torn.1.00C.0.10M.0.02E,25,16856,5.0347,299,298.81,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,24970,4.7351,299,298.74,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,86086,4.7330,299,298.72,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,70780,5.0294,299,298.73,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,20920,4.9145,300,299.83,297,37,sim
Baseline,Torn.1.00C.0.10M.0.10E,25,34066,4.6850,300,299.61,296,56,sim
Baseline,Torn.0.80C.0.05M.0.02E,25,34210,12.1444,299,298.87,296,-1,nao
Baseline,Torn.0.80C.0.05M.0.02E,25,7645,11.8434,300,299.84,297,23,sim
Baseline,Torn.0.80C.0.05M.0.02E,25,99905,12.3512,300,299.91,296,51,sim
Baseline,Torn.0.80C.0.05M.0.02E,25,46893,11.4580,299,298.79,294,-1,nao
Baseline,Torn.0.80C.0.05M.0.02E,25,50825,12.8388,299,298.95,296,-1,nao
Baseline,Torn.0.80C.0.05M.0.10E,25,95706,11.4544,298,297.89,295,-1,nao
Baseline,Torn.0.80C.0.05M.0.10E,25,9525,10.8390,300,299.87,296,56,sim
Baseline,Torn.0.80C.0.05M.0.10E,25,48118,11.0424,299,298.83,294,-1,nao
Baseline,Torn.0.80C.0.05M.0.10E,25,61781,10.8665,300,299.85,296,55,sim
Baseline,Torn.0.80C.0.05M.0.10E,25,89970,11.4030,300,299.95,296,54,sim
Baseline,Torn.0.80C.0.10M.0.02E,25,99866,13.1361,300,299.81,296,155,sim
Baseline,Torn.0.80C.0.10M.0.02E,25,69045,13.6545,300,299.82,296,58,sim
Baseline,Torn.0.80C.0.10M.0.02E,25,37555,11.5347,299,298.81,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.02E,25,5380,11.6282,300,299.75,297,73,sim
Baseline,Torn.0.80C.0.10M.0.02E,25,93638,11.3933,299,298.81,295,-1,nao
