max_gens,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
100,0.25650858879089355,105,103.44166666666666,100,19,True
500,0.2183218002319336,105,103.29166666666667,99,16,True
1000,0.29094409942626953,105,103.45833333333333,99,20,True
