pop_size,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
50,3.8001880645751953,104,103.62,100,,False
100,2.0159993171691895,105,103.66,100,224,True
150,0.5822131633758545,105,102.62666666666667,95,50,True
200,0.14159893989562988,105,102.345,95,10,True
