p_mutacao,tempo,max_fitness,mean_fitness,min_fitness,gens_to_solve,solved
0.01,145.69515895843506,4945,4944.958,4941,,False
0.05,142.5899658203125,4948,4947.88,4945,,False
0.1,143.49038171768188,4948,4947.79,4943,,False
